"county","grade_level","sex","total_overweight","total_obese","total_overweight_or_obese","total_healthy","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis"
"DUTCHESS","ELEMENTARY","FEMALE",142,142,259,653,44,38,188,6,1490,860,928,35,22,232,485
"DUTCHESS","ELEMENTARY","FEMALE",142,142,259,653,27,9,84,1,787,479,468,17,39,107,211
"DUTCHESS","ELEMENTARY","MALE",140,140,283,709,282,587,1474,4,5269,3995,3968,196,347,1222,2255
"DUTCHESS","ELEMENTARY","MALE",140,140,283,709,176,167,200,1,841,697,751,23,63,183,340
"DUTCHESS","ELEMENTARY","MALE",140,140,283,709,44,38,188,6,1490,860,928,35,22,232,485
"DUTCHESS","ELEMENTARY","MALE",140,140,283,709,27,9,84,1,787,479,468,17,39,107,211
"DUTCHESS","MIDDLE/HIGH","FEMALE",158,158,286,541,282,587,1474,4,5269,3995,3968,196,347,1222,2255
"DUTCHESS","MIDDLE/HIGH","FEMALE",158,158,286,541,176,167,200,1,841,697,751,23,63,183,340
"DUTCHESS","MIDDLE/HIGH","FEMALE",158,158,286,541,44,38,188,6,1490,860,928,35,22,232,485
"DUTCHESS","MIDDLE/HIGH","FEMALE",158,158,286,541,27,9,84,1,787,479,468,17,39,107,211
"DUTCHESS","MIDDLE/HIGH","MALE",133,133,294,537,282,587,1474,4,5269,3995,3968,196,347,1222,2255
"DUTCHESS","MIDDLE/HIGH","MALE",133,133,294,537,176,167,200,1,841,697,751,23,63,183,340
"DUTCHESS","MIDDLE/HIGH","MALE",133,133,294,537,44,38,188,6,1490,860,928,35,22,232,485
"DUTCHESS","MIDDLE/HIGH","MALE",133,133,294,537,27,9,84,1,787,479,468,17,39,107,211
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,8,12,20,8,1565,826,807,5,20,192,499
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,1422,402,409,22,7406,4993,5121,388,453,1154,1688
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,262,666,171,6,2115,1587,1797,135,164,338,1730
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,157,843,201,7,914,1105,1178,0,161,343,1508
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,10,6,37,13,1613,833,873,5,27,207,606
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,12,17,82,324,1736,1086,1156,1,71,436,1166
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,102,48,142,11,2466,1431,1481,46,143,364,711
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,29,35,90,9,3225,1754,1721,8,87,566,855
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,58,52,250,13,4199,2330,2423,39,181,783,1471
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,52,289,269,9,1279,956,1021,334,79,353,1542
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,102,66,181,12,5270,2830,2940,47,139,941,1095
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,5,7,15,167,1140,691,695,6,52,163,582
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,80,43,112,1,4398,2371,2379,26,116,710,679
"ERIE","ELEMENTARY","FEMALE",869,869,1521,3768,222,511,620,35,5088,3404,3490,207,418,1250,3397
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,8,12,20,8,1565,826,807,5,20,192,499
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,1422,402,409,22,7406,4993,5121,388,453,1154,1688
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,262,666,171,6,2115,1587,1797,135,164,338,1730
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,157,843,201,7,914,1105,1178,0,161,343,1508
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,10,6,37,13,1613,833,873,5,27,207,606
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,12,17,82,324,1736,1086,1156,1,71,436,1166
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,102,48,142,11,2466,1431,1481,46,143,364,711
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,29,35,90,9,3225,1754,1721,8,87,566,855
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,58,52,250,13,4199,2330,2423,39,181,783,1471
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,52,289,269,9,1279,956,1021,334,79,353,1542
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,102,66,181,12,5270,2830,2940,47,139,941,1095
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,5,7,15,167,1140,691,695,6,52,163,582
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,80,43,112,1,4398,2371,2379,26,116,710,679
"ERIE","ELEMENTARY","MALE",842,842,1627,3876,222,511,620,35,5088,3404,3490,207,418,1250,3397
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,8,12,20,8,1565,826,807,5,20,192,499
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,1422,402,409,22,7406,4993,5121,388,453,1154,1688
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,262,666,171,6,2115,1587,1797,135,164,338,1730
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,157,843,201,7,914,1105,1178,0,161,343,1508
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,10,6,37,13,1613,833,873,5,27,207,606
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,12,17,82,324,1736,1086,1156,1,71,436,1166
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,102,48,142,11,2466,1431,1481,46,143,364,711
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,29,35,90,9,3225,1754,1721,8,87,566,855
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,58,52,250,13,4199,2330,2423,39,181,783,1471
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,52,289,269,9,1279,956,1021,334,79,353,1542
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,102,66,181,12,5270,2830,2940,47,139,941,1095
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,5,7,15,167,1140,691,695,6,52,163,582
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,80,43,112,1,4398,2371,2379,26,116,710,679
"ERIE","MIDDLE/HIGH","FEMALE",609,609,1152,2321,222,511,620,35,5088,3404,3490,207,418,1250,3397
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,8,12,20,8,1565,826,807,5,20,192,499
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,1422,402,409,22,7406,4993,5121,388,453,1154,1688
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,262,666,171,6,2115,1587,1797,135,164,338,1730
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,157,843,201,7,914,1105,1178,0,161,343,1508
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,10,6,37,13,1613,833,873,5,27,207,606
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,12,17,82,324,1736,1086,1156,1,71,436,1166
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,102,48,142,11,2466,1431,1481,46,143,364,711
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,29,35,90,9,3225,1754,1721,8,87,566,855
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,58,52,250,13,4199,2330,2423,39,181,783,1471
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,52,289,269,9,1279,956,1021,334,79,353,1542
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,102,66,181,12,5270,2830,2940,47,139,941,1095
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,5,7,15,167,1140,691,695,6,52,163,582
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,80,43,112,1,4398,2371,2379,26,116,710,679
"ERIE","MIDDLE/HIGH","MALE",540,540,1190,2240,222,511,620,35,5088,3404,3490,207,418,1250,3397
"FRANKLIN","ELEMENTARY","FEMALE",54,54,136,148,4,1,14,3,706,369,380,0,21,119,380
"FRANKLIN","ELEMENTARY","FEMALE",54,54,136,148,1,1,34,869,475,724,731,0,75,209,1089
"FRANKLIN","ELEMENTARY","MALE",57,57,135,175,4,1,14,3,706,369,380,0,21,119,380
"FRANKLIN","ELEMENTARY","MALE",57,57,135,175,1,1,34,869,475,724,731,0,75,209,1089
"FRANKLIN","MIDDLE/HIGH","FEMALE",27,27,70,69,4,1,14,3,706,369,380,0,21,119,380
"FRANKLIN","MIDDLE/HIGH","FEMALE",27,27,70,69,1,1,34,869,475,724,731,0,75,209,1089
"FRANKLIN","MIDDLE/HIGH","MALE",27,27,82,68,4,1,14,3,706,369,380,0,21,119,380
"FRANKLIN","MIDDLE/HIGH","MALE",27,27,82,68,1,1,34,869,475,724,731,0,75,209,1089
"FULTON","ELEMENTARY","FEMALE",24,24,34,71,17,12,61,3,1424,729,821,11,33,183,783
"FULTON","ELEMENTARY","MALE",18,18,38,83,17,12,61,3,1424,729,821,11,33,183,783
"FULTON","MIDDLE/HIGH","FEMALE",17,17,30,34,17,12,61,3,1424,729,821,11,33,183,783
"FULTON","MIDDLE/HIGH","MALE",7,7,21,40,17,12,61,3,1424,729,821,11,33,183,783
"GENESEE","ELEMENTARY","FEMALE",36,36,91,155,22,298,213,26,1672,1084,1222,47,75,282,1338
"GENESEE","ELEMENTARY","MALE",39,39,94,169,22,298,213,26,1672,1084,1222,47,75,282,1338
"GENESEE","MIDDLE/HIGH","FEMALE",37,37,71,70,22,298,213,26,1672,1084,1222,47,75,282,1338
"GENESEE","MIDDLE/HIGH","MALE",32,32,72,106,22,298,213,26,1672,1084,1222,47,75,282,1338
"GREENE","ELEMENTARY","FEMALE",49,49,90,140,9,22,104,3,983,591,614,11,84,215,615
"GREENE","ELEMENTARY","FEMALE",49,49,90,140,9,35,96,1,1059,568,683,9,51,154,475
"GREENE","ELEMENTARY","MALE",61,61,124,151,9,22,104,3,983,591,614,11,84,215,615
"GREENE","ELEMENTARY","MALE",61,61,124,151,9,35,96,1,1059,568,683,9,51,154,475
"GREENE","MIDDLE/HIGH","FEMALE",31,31,76,86,9,22,104,3,983,591,614,11,84,215,615
"GREENE","MIDDLE/HIGH","FEMALE",31,31,76,86,9,35,96,1,1059,568,683,9,51,154,475
"GREENE","MIDDLE/HIGH","MALE",30,30,70,87,9,22,104,3,983,591,614,11,84,215,615
"GREENE","MIDDLE/HIGH","MALE",30,30,70,87,9,35,96,1,1059,568,683,9,51,154,475
"JEFFERSON","ELEMENTARY","FEMALE",151,151,328,724,11,14,34,4,1787,946,948,4,44,333,944
"JEFFERSON","ELEMENTARY","FEMALE",151,151,328,724,101,280,600,16,2441,1845,1872,96,279,533,1910
"JEFFERSON","ELEMENTARY","FEMALE",151,151,328,724,3,6,29,5,794,442,425,1,30,108,412
"JEFFERSON","ELEMENTARY","FEMALE",151,151,328,724,49,155,357,14,2374,1532,1659,40,242,542,1636
"JEFFERSON","ELEMENTARY","MALE",184,184,397,745,11,14,34,4,1787,946,948,4,44,333,944
"JEFFERSON","ELEMENTARY","MALE",184,184,397,745,101,280,600,16,2441,1845,1872,96,279,533,1910
"JEFFERSON","ELEMENTARY","MALE",184,184,397,745,3,6,29,5,794,442,425,1,30,108,412
"JEFFERSON","ELEMENTARY","MALE",184,184,397,745,49,155,357,14,2374,1532,1659,40,242,542,1636
"JEFFERSON","MIDDLE/HIGH","FEMALE",124,124,242,330,11,14,34,4,1787,946,948,4,44,333,944
"JEFFERSON","MIDDLE/HIGH","FEMALE",124,124,242,330,101,280,600,16,2441,1845,1872,96,279,533,1910
